document1,document2,label,antecedent,
그 사람이 누워 있는 이 사이에 와서 누웠어요.,"제가 발버둥을 치면 이불도 조금이나마 뭐라고 해야 되지, 걷어지니까 그 사이에 딱 침대에서 자기도 내려와서 밑에 있잖아요. 침대가 이렇게 있으면 여기에 베개가 있고, 여기 이불이 있으면 여기 밑쪽으로 와가지고 사이 누워 있고,",,자기,
"그거를 좀 마셨었어요,","저는 혼자 따로 있었는데, 갑자기 제가 그전에 잠깐 나가서 ‘이슬톡톡’ 있잖아요. ",,제,
"중간에 나가서 다시 들어와서, ","저는 혼자 따로 있었는데, 갑자기 제가 그전에 잠깐 나가서 ‘이슬톡톡’ 있잖아요. 그거를 좀 마셨었어요,",,제,
무슨 얘기를 하려는 거예요. ,"그래서 들어갔는데, 막 둘이서 제 눈치를 보는 거예요.",,둘,
"안 취했다고 그랬는데,",그러다가 저보고 민정이가 “술 깼냐? ” 물어보는 거예요. 그래서 뭐지... ,,저,
"이상해갖고,","그냥 뭔가 분위기가 이상한 거예요, 계속.",,분위기,
"아, 나, 그냥 화장실 갈래. ” 이러고 그냥 가고,","그러다가 저보고 민정이가 “술 깼냐? ” 물어보는 거예요. 그래서 뭐지... 안 취했다고 그랬는데, 그냥 뭔가 분위기가 이상한 거예요, 계속. 이상해갖고,",,저,
화장실 갔다가 소파에 있었거든요.,"그러다가 저보고 민정이가 “술 깼냐? ” 물어보는 거예요. 그래서 뭐지... 안 취했다고 그랬는데, 그냥 뭔가 분위기가 이상한 거예요, 계속. 이상해갖고, “아, 나, 그냥 화장실 갈래. ” 이러고 그냥 가고,",,저,
"그러고 새벽에 새벽쯤에 물어봤을 거예요, 페메로.","그러다가 저보고 민정이가 “술 깼냐? ” 물어보는 거예요. 그래서 뭐지... 안 취했다고 그랬는데, 그냥 뭔가 분위기가 이상한 거예요, 계속. 이상해갖고, “아, 나, 그냥 화장실 갈래. ” 이러고 그냥 가고, 화장실 갔다가 소파에 있었거든요.",,저,
"‘너, 그때 나한테 무슨 얘기 할려고 했었어? ’ 이랬는데, ","그러다가 저보고 민정이가 “술 깼냐? ” 물어보는 거예요. 그래서 뭐지... 안 취했다고 그랬는데, 그냥 뭔가 분위기가 이상한 거예요, 계속. 이상해갖고, “아, 나, 그냥 화장실 갈래. ” 이러고 그냥 가고, 화장실 갔다가 소파에 있었거든요. 그러고 새벽에 새벽쯤에 물어봤을 거예요, 페메로. ",,저,
김진수 오빠가 저랑 성관계를 맺고 싶다고 그렇게 얘기한 거예요.,"걔가 아무한테도 말하지 말라 했나, 막 이러면서...",,걔,
그래서 ‘얘가 장난치나? ’ 기분나빠하지 말고 그냥 참고 넘어갔어요.,"그래서 제가 그때 처음에는 솔직히 그거를 안 믿었어요. 왜냐하면 민정이 남자친군데, 민정이한테 그런 얘기를 할 리가 없잖아요. 너무 이상하잖아요.",,제,
"또 민정이랑 있었는데, ","그래서 제가 그때 처음에는 솔직히 그거를 안 믿었어요. 왜냐하면 민정이 남자친군데, 민정이한테 그런 얘기를 할 리가 없잖아요. 너무 이상하잖아요. 그래서 ‘얘가 장난치나? ’ 기분나빠하지 말고 그냥 참고 넘어갔어요. 그런데 24일 날,",,제,
"그 상태에서 민정이를 또 부른 거예요, 이리 오라고. ","그러니까 김진수 오빠가 이우진 오빠 집에 있었는데,",,김진수 오빠,
"같이 갔는데,","예, 우리는 저는 또 민정이랑 같이 있었고, 민정이 또 저한테 같이 가자 이러고,",,저,
글러브를 끼고 저를 때리는 거예요.,"그러고 한참 있다가 나오더니 갑자기 김진수 오빠가 글러브를 달라고, 이우진 오빠한테. ",,김진수 오빠,
"처음에 딱 나와서 글러브를 찾고, 끼자마자 저한테 “넌 좀 맞아야 돼. ” 이렇게 얘기하고, 저를 때렸어요, 진짜.","그러고 한참 있다가 나오더니 갑자기 김진수 오빠가 글러브를 달라고, 이우진 오빠한테. 글러브를 끼고 저를 때리는 거예요.",,김진수 오빠,
"어디 맞았냐면,","처음에 딱 나와서 글러브를 찾고, 끼자마자 저한테 “넌 좀 맞아야 돼. ” 이렇게 얘기하고, 저를 때렸어요, 진짜.",,저,
"손은, 그러니까 글러브 낀 상태로 얼굴이랑 싸대기, 막 이런 데, 머리 다 때리고, 발로 제 다리 차고, 이랬었단 말이에요.","그러고 한참 있다가 나오더니 갑자기 김진수 오빠가 글러브를 달라고, 이우진 오빠한테. 글러브를 끼고 저를 때리는 거예요. 처음에 딱 나와서 글러브를 찾고, 끼자마자 저한테 “넌 좀 맞아야 돼. ” 이렇게 얘기하고, 저를 때렸어요, 진짜. 어디 맞았냐면, ",,김진수 오빠,
"솔직히 그렇게 때리는데,","그러고 한참 있다가 나오더니 갑자기 김진수 오빠가 글러브를 달라고, 이우진 오빠한테. 글러브를 끼고 저를 때리는 거예요. 처음에 딱 나와서 글러브를 찾고, 끼자마자 저한테 “넌 좀 맞아야 돼. ” 이렇게 얘기하고, 저를 때렸어요, 진짜. 어디 맞았냐면, 손은, 그러니까 글러브 낀 상태로 얼굴이랑 싸대기, 막 이런 데, 머리 다 때리고, 발로 제 다리 차고, 이랬었단 말이에요. ",,김진수 오빠,
"너무 아팠어요, 솔직히.","처음에 딱 나와서 글러브를 찾고, 끼자마자 저한테 “넌 좀 맞아야 돼. ” 이렇게 얘기하고, 저를 때렸어요, 진짜. 어디 맞았냐면, 손은, 그러니까 글러브 낀 상태로 얼굴이랑 싸대기, 막 이런 데, 머리 다 때리고, 발로 제 다리 차고, 이랬었단 말이에요. 솔직히 그렇게 때리는데,",,저,
"그러고 진짜 한참을 계속 그렇게 맞고,",그래서 제가 진짜 손까지 이렇게 하면서 아프다고 진짜 아프다고 때리지 말아달라고 계속 이랬거든요. 그런데 이우진 오빠도 황민정도 안 말리고 그냥 보기만 하는 거예요. ,,제,
"그러고 갑자기 아무렇지 않게 코노 가자고, 노래방을 가자고 이러는 거예요.","그 오빠가 글러브를 빼고,",,그 오빠,
"가는 길에서 때리고,","그 오빠가 글러브를 빼고, 그러고 갑자기 아무렇지 않게 코노 가자고, 노래방을 가자고 이러는 거예요. 넷이서 이제 노래방을 갔는데,",,그 오빠,
"이제 코노 다 부르고, 노래 다 부르고 나와서 이제 민정이 집 쪽으로 가는 길에 또 때렸단 말이에요.","그 오빠가 글러브를 빼고, 그러고 갑자기 아무렇지 않게 코노 가자고, 노래방을 가자고 이러는 거예요. 넷이서 이제 노래방을 갔는데, 가는 길에서 때리고,",,그 오빠,
"그래서 멍이 좀 들었는데,","그래서 제가 진짜 손까지 이렇게 하면서 아프다고 진짜 아프다고 때리지 말아달라고 계속 이랬거든요. 그런데 이우진 오빠도 황민정도 안 말리고 그냥 보기만 하는 거예요. 그러고 진짜 한참을 계속 그렇게 맞고, 그 오빠가 글러브를 빼고, 그러고 갑자기 아무렇지 않게 코노 가자고, 노래방을 가자고 이러는 거예요. 넷이서 이제 노래방을 갔는데, 가는 길에서 때리고, 이제 코노 다 부르고, 노래 다 부르고 나와서 이제 민정이 집 쪽으로 가는 길에 또 때렸단 말이에요. 그래서 멍이 좀 들었는데, ",,제,
그래서 그때 노래방 갈 때나 이제 나갈 때에는 맨손으로 때렸단 말이에요.,"그 오빠가 글러브를 빼고, 그러고 갑자기 아무렇지 않게 코노 가자고, 노래방을 가자고 이러는 거예요. 넷이서 이제 노래방을 갔는데, 가는 길에서 때리고, 이제 코노 다 부르고, 노래 다 부르고 나와서 이제 민정이 집 쪽으로 가는 길에 또 때렸단 말이에요. 그래서 멍이 좀 들었는데,",,그 오빠,
"말리지를 않았어요, 아예.","아, 그 친구들 반응을 못 봤어요? ",,그 친구들,
"진짜 아프다고, 계속 이렇게 빌었어요. ",저 계속 때리지 말라고 했어요.,,저,
"그냥 가만히 있었는데, 소파에 계속 있었다고 말했었잖아요.","저는요, ",,저,
"갑자기 나가서 글러브를 찾더니, 갑자기 저한테 “넌 좀 맞아야 돼. ” 이러면서 계속 때렸어요.","뭔가 상황적으로 그 사람이 ○○ 양을 때릴 만한 이유가 있었어요? 
저는요, 그냥 가만히 있었는데, 소파에 계속 있었다고 말했었잖아요. ",,그 사람,
"이우진 오빠랑 마지막에 “얘 울겠다. ”고 “그만 때리라”고, 이렇게 말했는데,","노래방에서 나와서 때릴 때, 황민정은 처음부터 끝까지 그냥 말리지도 않고,",,황민정,
막 욕하면서 슬프다고,근데 김진수 오빠한테 연락이 온 거예요.,,김진수 오빠,
거절하면 또 맞을까 봐.,"그래서 제가 좀 무서웠어요,",,제,
"지금 무섭다고, 그렇게 얘기하고,","이 오빠가 너 내려가서 슬프다고 나한테 계속 술 마시자고 하는데,",,나,
뭔가 마시기 싫은 거예요.,"그래서 마시래요, 저보고. 그래서 그냥 민정이는 허락해줬는데,",,저,
"거절하면 또 맞을 것 같고, 그래서 그냥 “알겠다. ” 하고","그래서 마시래요, 저보고. 그래서 그냥 민정이는 허락해줬는데, 뭔가 마시기 싫은 거예요. ",,저,
"안 된다고, 그러면서 저를 끌고 가다가 봉투를 딱 들여다보더니,","그러면 그렇게 술을 사서 어디에서 그날 그 사람을 만난 거예요? 
그러니까 작은새초, 작은새초등학교가 있는데, 거기 앞에서 만나갖고, 주고 갈라고 했는데,",,그 사람,
"이러면서 막 또 때리고,","그러면 그렇게 술을 사서 어디에서 그날 그 사람을 만난 거예요? 
그러니까 작은새초, 작은새초등학교가 있는데, 거기 앞에서 만나갖고, 주고 갈라고 했는데, 안 된다고, 그러면서 저를 끌고 가다가 봉투를 딱 들여다보더니, 종이컵을 안 사오냐고,",,그 사람,
뭔가 취하면,"그러면서 저는 조금씩만 마셨어요, ",,저,
잠깐 내려갔었어요.,"그런데 이우진 오빠가 종이컵 사러간다고 얘기하고,",,이우진 오빠,
"아무 생각 없으니까,","저는 당연히 없으니까,",,저,
"싫다고 관심없다고 계속 이런 식으로 얘기했는데,","저는 당연히 없으니까, 아무 생각 없으니까, ",,저,
"그래서 렌즈 꼈나, 안 꼈나 보고, “꼈네. ” 이러고","저는 당연히 없으니까, 아무 생각 없으니까, 싫다고 관심없다고 계속 이런 식으로 얘기했는데, 그러다가 자기 렌즈 꼈다면서 제 얼굴 가까이 대는 거예요.",,저,
그때 종이컵에다 가득 따라서 계속 원샷 시키게 했어요.,"그래서 렌즈 꼈나, 안 꼈나 보고, “꼈네. ” 이러고 그 오빠가 술 마시다가 이우진 오빠가 종이컵이랑 쥬시쿨을 사서 왔어요. 마시는, 다시 종이컵에다가 마시는데,",,그 오빠,
"빨리 원샷 하는 편이 아니어서갖고,","그러고 제가 술을 빨리 먹는 것도 아닌데, ",,제,
진짜 엄청 취했어요.,"그러고 제가 술을 빨리 먹는 것도 아닌데, 빨리 원샷 하는 편이 아니어서갖고, ",,제,
"그런데 그래서 ‘필름이 끊겼다, 안 끊겼다. ’ 이렇게 반복했었단 말이에요","그러고 제가 술을 빨리 먹는 것도 아닌데, 빨리 원샷 하는 편이 아니어서갖고, 진짜 엄청 취했어요.",,제,
저한테 키스를 했어요.,제가 필름 안 끊겼을 때 기억으로는 처음에 김진수 오빠가 저를 잡아땡겨서 ,,김진수 오빠,
"처음에는 너무 취해서갖고, 그냥 반항을 못했어요",그래서 제가 밀쳐냈고,,제,
그런데 좀 깰라고 계속 엄청 노력했단 말이에요.,"그래서 제가 밀쳐냈고 처음에는 너무 취해서갖고, 그냥 반항을 못했어요.",,제,
저한테 또 키스를 하는 거예요.,이우진 오빠가 제 팔도 잡아땡겨서,,이우진 오빠,
계속 밀쳐내는 식으로 계속 하고,이우진 오빠가 제 팔도 잡아땡겨서 저한테 또 키스를 하는 거예요.,,저,
그 뒤로 필름이 끊겼어요.,이우진 오빠가 제 팔도 잡아땡겨서 저한테 또 키스를 하는 거예요. 계속 밀쳐내는 식으로 계속 하고,,저,
"그러고 다시 깼는데,",이우진 오빠가 제 팔도 잡아땡겨서 저한테 또 키스를 하는 거예요. 계속 밀쳐내는 식으로 계속 하고 그 뒤로 필름이 끊겼어요.,,저,
"누워, 이쪽으로 누워 있었고,",근데 막 김진수가 이쪽에 있었잖아요.,,김진수,
"갑자기 손을 다리에 대더니, ","근데 막 김진수가 이쪽에 있었잖아요. 누워, 이쪽으로 누워 있었고,",,김진수,
바지 속으로 들어갈라고 하는 거예요.,"근데 막 김진수가 이쪽에 있었잖아요. 누워, 이쪽으로 누워 있었고, 갑자기 손을 다리에 대더니,",,김진수,
그래서 그거를 밀쳐냈어요,"제가 그냥 좀 쭈그려서 이쪽으로 좀 누워 있었는데, 제가 그때 뭐지? 롱패딩에다가 쫄티에다가 반바지를 입었었어요. 근데 막 김진수가 이쪽에 있었잖아요. 누워, 이쪽으로 누워 있었고, 갑자기 손을 다리에 대더니, 바지 속으로 들어갈라고 하는 거예요.",,제,
"그리고 필름이 끊겼는데,","제가 그냥 좀 쭈그려서 이쪽으로 좀 누워 있었는데, 제가 그때 뭐지? 롱패딩에다가 쫄티에다가 반바지를 입었었어요. 근데 막 김진수가 이쪽에 있었잖아요. 누워, 이쪽으로 누워 있었고, 갑자기 손을 다리에 대더니, 바지 속으로 들어갈라고 하는 거예요. 그래서 그거를 밀쳐냈어요",,제,
그걸로 켜서 저를 비추는 거예요,"그리고 필름이 끊겼는데, 이우진 오빠 형이 있거든요. 이름이 기억 안 나는데, 그 오빠가 올라온 거예요",,그 오빠,
"그러고 나서 다시 또 필름이 끊겼는데,","그걸로 켜서 저를 비추는 거예요.
응, 응. ",,저,
하여튼 기억이 안 나요,"그걸로 켜서 저를 비추는 거예요.
응, 응.
그러고 나서 다시 또 필름이 끊겼는데,",,저,
"그런데 또 깼는데,","그걸로 켜서 저를 비추는 거예요.
응, 응.
그러고 나서 다시 또 필름이 끊겼는데, 하여튼 기억이 안 나요, 또.",,저,
그리고 저한테 라면 국물을 먹이고,둘이서 라면을 먹어요. ,,둘,
그러고 이제 저 집을 데려다주려고 했나봐요.,"둘이서 라면을 먹어요. 그리고 저한테 라면 국물을 먹이고,",,둘,
이제 속이 너무 안 좋아가지고,"근데 그 편의점 나와서 제가 그렇게 막 빨리 많이 마신 게, 그때는 처음이었어가지고",,제,
"토를 하고,  ","근데 그 편의점 나와서 제가 그렇게 막 빨리 많이 마신 게, 그때는 처음이었어가지고 이제 속이 너무 안 좋아가지고 제가 거기서 토를 했어요, 편의점 나와서. ",,제,
